,ZIP,date_start - date_end,Predicted new cases,cases/population * 10000
295,90039,2020/4/21 - 2020/4/24,3.9650576,1.34004448
296,90039,2020/4/22 - 2020/4/25,1.1630619,0.393072377
297,90039,2020/4/23 - 2020/4/26,0.9652741,0.326227346
298,90039,2020/4/24 - 2020/4/27,-0.9331436,-0.315368419
299,90039,2020/4/25 - 2020/4/28,3.2695258,1.10498015
300,90039,2020/4/26 - 2020/4/29,0.5467465,0.184780321
301,90039,2020/4/27 - 2020/4/30,0.61475897,0.207766051
302,90039,2020/4/28 - 2020/5/1,1.0256402,0.346628899
303,90039,2020/4/29 - 2020/5/2,-0.5179143,-0.175036093
304,90039,2020/4/30 - 2020/5/3,-0.17737222,-0.059945323
305,90039,2020/5/1 - 2020/5/4,-0.35794187,-0.120971262
306,90039,2020/5/2 - 2020/5/5,2.5767765,0.870856232
307,90039,2020/5/3 - 2020/5/6,3.306934,1.117622805
308,90039,2020/5/4 - 2020/5/7,4.4491425,1.503647455
309,90039,2020/5/5 - 2020/5/8,2.1169045,0.71543631
310,90039,2020/5/6 - 2020/5/9,1.6837107,0.569032645
311,90039,2020/5/7 - 2020/5/10,-0.26019573,-0.087936643
312,90039,2020/5/8 - 2020/5/11,-1.948019,-0.658359197
313,90039,2020/5/9 - 2020/5/12,-1.339273,-0.452625292
314,90039,2020/5/10 - 2020/5/13,-0.013566971,-0.00458514
315,90039,2020/5/11 - 2020/5/14,-0.43895364,-0.148350278
316,90039,2020/5/12 - 2020/5/15,-1.0517187,-0.355442466
317,90039,2020/5/13 - 2020/5/16,0.5171809,0.174788239
318,90039,2020/5/14 - 2020/5/17,0.9801626,0.331259124
319,90039,2020/5/15 - 2020/5/18,3.2886972,1.111459408
320,90039,2020/5/16 - 2020/5/19,-1.577445,-0.533118737
321,90039,2020/5/17 - 2020/5/20,7.7894993,2.632565914
322,90039,2020/5/18 - 2020/5/21,0.25196886,0.085156261
323,90039,2020/5/19 - 2020/5/22,-0.36974883,-0.124961584
324,90039,2020/5/20 - 2020/5/23,0.33109927,0.111899446
325,90039,2020/5/21 - 2020/5/24,-0.07345271,-0.02482433
326,90039,2020/5/22 - 2020/5/25,1.3634229,0.460787073
327,90039,2020/5/23 - 2020/5/26,3.2145312,1.086393992
328,90039,2020/5/24 - 2020/5/27,3.4218946,1.156475227
329,90039,2020/5/25 - 2020/5/28,2.3164077,0.78286109
330,90039,2020/5/26 - 2020/5/29,0.68751335,0.232354372
331,90039,2020/5/27 - 2020/5/30,1.7083423,0.577357232
332,90043,2020/3/22 - 2020/3/25,0.6488254,0.145388533
333,90043,2020/3/23 - 2020/3/26,0.76948905,0.172426793
334,90043,2020/3/24 - 2020/3/27,1.7574253,0.393803148
335,90043,2020/3/25 - 2020/3/28,1.9106641,0.42814083
336,90043,2020/3/26 - 2020/3/29,1.7358841,0.388976196
337,90043,2020/3/27 - 2020/3/30,-1.363584,-0.305551357
338,90043,2020/3/28 - 2020/3/31,-0.26087904,-0.058457669
339,90043,2020/3/29 - 2020/4/1,0.8147409,0.182566808
340,90043,2020/3/30 - 2020/4/2,0.47512507,0.106465833
341,90043,2020/3/31 - 2020/4/3,1.3878448,0.310987698
342,90043,2020/4/1 - 2020/4/4,2.1629853,0.484680871
343,90043,2020/4/2 - 2020/4/5,2.6775808,0.599991224
344,90043,2020/4/3 - 2020/4/6,2.215222,0.496386018
345,90043,2020/4/4 - 2020/4/7,3.3521008,0.751137394
346,90043,2020/4/5 - 2020/4/8,3.9298341,0.880595632
347,90043,2020/4/6 - 2020/4/9,4.150578,0.930059834
348,90043,2020/4/7 - 2020/4/10,3.3953698,0.760833076
